nombre,linea,familia,modelo,fraccionamiento,prototipo,plantas,estacionamiento,salacomedor,cocina,patio_de_servicio,area_de_jardin,habitaciones,rea_de_jardn,m2_de_construccin,m2_de_terreno,tinaco,cisterna,construccin_de_ladrillo_rojo_recocido,construccin_de_block_de_concreto,muro_independiente,terraza,smart_house_kit,roof_garden,vestidor_recamara_principal
Arena,Residencial Medio,Altamar Residencial ,,Altamar Residencial ,Arena,2,2,si,si,si,si,3,2.5,162.5,126.7,si,si,si,,,,,,
Bahia,Residencial Medio,Altamar Residencial ,,Altamar Residencial ,Bahia,2,2,si,si,si,si,3,2.5,130,126.7,si,si,si,,,,,,
Burgos,Interes Social,Mayorazgo Residencial,,Mayorazgo Residencial,Burgos,1,1,si,si,si,si,3,1,,varia,si,si,si,,,,,,
Burgos Superior,Interes Social,Mayorazgo Residencial,,Mayorazgo Residencial,Burgos Superior,1,1,si,si,si,si,3,1,,varia,si,si,si,,,si,,,
Celebra,Interes Social,Rinconada la Vina,,Rinconada la Vina,Celebra,1,1,si,si,si,si,3,1,,varia,si,si,si,,,,,,
Terrace,Interes Social,Rinconada la Vina,,Rinconada la Vina,Terrace,2,2,si,si,si,si,3,2,86.41,varia,si,si,si,,,si,,,
Confort de Luxe,Residencial Medio,Rambla San Blas,,Rambla San Blas,Confort de Luxe,2,2,si,si,si,si,3,1.5,118,120,si,si,si,,,,,,
Premier Gold,Residencial Medio,Rambla San Blas,,Rambla San Blas,Premier Gold,2,2,si,si,si,si,3,2.5,121.72,120,si,si,si,,si,,,,si
Royal Roof Garden,Residencial Medio,Rambla San Blas,,Rambla San Blas,Royal Roof Garden,3,2,si,si,si,si,3,2.5,105.16,120,si,si,si,,si,,,si,
Flex Plus,Residencial Medio,Provenza Residencial ,,Provenza Residencial ,Flex Plus,2,2,si,si,si,si,3,2.5,81.62,varia,si,si,si,,,si,,,
Terrace,Residencial Medio,Provenza Residencial ,,Provenza Residencial ,Terrace,2,2,si,si,si,si,3,2,86.41,varia,si,si,si,,,si,,,
Premier,Residencial Medio,Provenza Residencial ,,Provenza Residencial ,Premier,2,2,si,si,si,si,3,2.5,118.8,varia,si,si,si,,,,,,
Confort,Residencial Medio,Provenza Residencial ,,Provenza Residencial ,Confort,2,2,si,si,si,si,3,1.5,98.93,varia,si,si,si,,,,si,,
Premier,Residencial Medio,Piamonte Residencial,,Piamonte Residencial,Premier,2,2,si,si,si,si,3,2.5,118.8,varia,si,si,si,,,,,,
Marquez 3r,Interes Social,Mayorazgo Residencial,,Mayorazgo Residencial,Marquez 3r,1,1,si,si,si,si,3,1,,,si,si,si,,,,,,
Confort,Residencial Medio,Asturias Residencial,,Asturias Residencial,Confort,2,2,si,si,si,si,3,1.5,98.93,varia,si,si,si,,,,,,
Habita,Residencial Medio,Asturias Residencial,,Asturias Residencial,Habita,2,2,si,si,si,si,3,2.5,110.37,varia,si,si,si,,si,,,,
Premier,Residencial Medio,Asturias Residencial,,Asturias Residencial,Premier,2,2,si,si,si,si,3,2.5,118.8,varia,si,si,si,,,,,,
