parent_category_en,parent_category_es,type_code,type_name_en,type_name_es,added_2026_02_12,table,source_url
Automotive,Industria automotriz,car_dealer,Car Dealer,Concesionario de automóviles,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,car_rental,Car Rental,Alquiler de automóviles,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,car_repair,Car Repair,Taller de reparación de automóviles,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,car_wash,Car Wash,Autolavado,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,ebike_charging_station,E-bike Charging Station,Estación de carga para bicicletas eléctricas,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,electric_vehicle_charging_station,Electric Vehicle Charging Station,Estación de carga para vehículos eléctricos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,gas_station,Gas Station,Gasolinera,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,parking,Parking,Estacionamiento,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,parking_garage,Parking Garage,Estacionamiento en edificio,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,parking_lot,Parking Lot,Estacionamiento al aire libre,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,rest_stop,Rest Stop,Área de descanso,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,tire_shop,Tire Shop,Llantera,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Automotive,Industria automotriz,truck_dealer,Truck Dealer,Concesionario de camiones,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,business_center,Business Center,Centro de negocios,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,corporate_office,Corporate Office,Oficina corporativa,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,coworking_space,Coworking Space,Espacio de coworking,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,farm,Farm,Granja,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,manufacturer,Manufacturer,Fabricante,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,ranch,Ranch,Rancho,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,supplier,Supplier,Proveedor,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Business,Negocios,television_studio,Television Studio,Estudio de televisión,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,art_gallery,Art Gallery,Galería de arte,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,art_museum,Art Museum,Museo de arte,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,art_studio,Art Studio,Estudio de arte,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,auditorium,Auditorium,Auditorio,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,castle,Castle,Castillo,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,cultural_landmark,Cultural Landmark,Sitio cultural emblemático,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,fountain,Fountain,Fuente,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,historical_place,Historical Place,Lugar histórico,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,history_museum,History Museum,Museo de historia,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,monument,Monument,Monumento,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,museum,Museum,Museo,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,performing_arts_theater,Performing Arts Theater,Teatro de artes escénicas,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Culture,Cultura,sculpture,Sculpture,Escultura,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,academic_department,Academic Department,Departamento académico,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,educational_institution,Educational Institution,Institución educativa,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,library,Library,Biblioteca,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,preschool,Preschool,Preescolar,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,primary_school,Primary School,Escuela primaria,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,research_institute,Research Institute,Instituto de investigación,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,school,School,Escuela,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,secondary_school,Secondary School,Escuela secundaria,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Education,Educación,university,University,Universidad,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,adventure_sports_center,Adventure Sports Center,Centro de deportes de aventura,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,amphitheatre,Amphitheatre,Anfiteatro,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,amusement_center,Amusement Center,Centro de diversiones,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,amusement_park,Amusement Park,Parque de diversiones,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,aquarium,Aquarium,Acuario,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,banquet_hall,Banquet Hall,Salón de banquetes,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,barbecue_area,Barbecue Area,Área para asadores,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,botanical_garden,Botanical Garden,Jardín botánico,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,bowling_alley,Bowling Alley,Boliche,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,casino,Casino,Casino,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,childrens_camp,Childrens Camp,Campamento infantil,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,city_park,City Park,Parque urbano,yes,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,comedy_club,Comedy Club,Club de comedia,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,community_center,Community Center,Centro comunitario,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,concert_hall,Concert Hall,Sala de conciertos,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,convention_center,Convention Center,Centro de convenciones,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
Entertainment and Recreation,Ocio y entretenimiento,cultural_center,Cultural Center,Centro cultural,no,A,https://developers.google.com/maps/documentation/places/web-service/place-types?hl=es-419
