tenant_id,canal,field_key,question_text,rule_type,match_value,min_value,max_value,score,normalized_value,priority,metadata
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,financing_type,"¿Comprarías de contado, crédito o mixto?",equals,contado,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,financing_type,"¿Comprarías de contado, crédito o mixto?",equals,mixto,,,90,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,financing_type,"¿Comprarías de contado, crédito o mixto?",equals,credito,,,80,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,financing_type,"¿Comprarías de contado, crédito o mixto?",equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,financing_type,"¿Comprarías de contado, crédito o mixto?",equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,budget_range,¿Cuál es tu rango de presupuesto aproximado?,equals,unknown,,,40,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,budget_range,¿Cuál es tu rango de presupuesto aproximado?,equals,refused,,,20,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,budget_range,¿Cuál es tu rango de presupuesto aproximado?,any,,,,100,,200,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,<3m,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,3-6m,,,80,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,6-12m,,,60,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,>12m,,,30,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,unknown,,,40,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,purchase_timeline,¿En qué plazo planeas comprar?,equals,refused,,,20,,60,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,decision_authority,¿Quién toma la decisión final de compra?,equals,full,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,decision_authority,¿Quién toma la decisión final de compra?,equals,shared,,,75,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,decision_authority,¿Quién toma la decisión final de compra?,equals,advisor,,,40,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,decision_authority,¿Quién toma la decisión final de compra?,equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,decision_authority,¿Quién toma la decisión final de compra?,equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,credit_preapproved,¿Ya tienes preaprobación de crédito?,equals,yes,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,credit_preapproved,¿Ya tienes preaprobación de crédito?,equals,in_process,,,70,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,credit_preapproved,¿Ya tienes preaprobación de crédito?,equals,no,,,30,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,credit_preapproved,¿Ya tienes preaprobación de crédito?,equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,credit_preapproved,¿Ya tienes preaprobación de crédito?,equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,visited_properties,¿Ya visitaste propiedades similares?,equals,yes,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,visited_properties,¿Ya visitaste propiedades similares?,equals,no,,,50,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,visited_properties,¿Ya visitaste propiedades similares?,equals,unknown,,,40,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,visited_properties,¿Ya visitaste propiedades similares?,equals,refused,,,20,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,down_payment_ready,¿Ya tienes listo el enganche?,equals,yes,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,down_payment_ready,¿Ya tienes listo el enganche?,equals,partial,,,70,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,down_payment_ready,¿Ya tienes listo el enganche?,equals,no,,,30,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,down_payment_ready,¿Ya tienes listo el enganche?,equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,down_payment_ready,¿Ya tienes listo el enganche?,equals,refused,,,20,,50,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,hard_deadline,¿Tienes una fecha límite para comprar?,equals,yes,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,hard_deadline,¿Tienes una fecha límite para comprar?,equals,no,,,50,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,hard_deadline,¿Tienes una fecha límite para comprar?,equals,unknown,,,40,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,hard_deadline,¿Tienes una fecha límite para comprar?,equals,refused,,,20,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,requirements_defined,¿Ya tienes claras las características que buscas?,equals,high,,,100,,10,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,requirements_defined,¿Ya tienes claras las características que buscas?,equals,medium,,,70,,20,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,requirements_defined,¿Ya tienes claras las características que buscas?,equals,low,,,40,,30,"{""source"":""gran_penon_scoring_seed_v1""}"
39e32c05-bfc2-4794-8aab-225873f2bf19,whatsapp,requirements_defined,¿Ya tienes claras las características que buscas?,equals,unknown,,,40,,40,"{""source"":""gran_penon_scoring_seed_v1""}"
