DATE IN UTC (yyyy-MM-dd),METRIC,COUNT,BUTTON TEXT
2026-03-01,Mensajes enviados,2,
2026-03-01,Mensajes entregados,2,
2026-03-01,Mensajes leídos,0,
2026-02-28,Mensajes enviados,18,
2026-02-28,Mensajes entregados,18,
2026-02-28,Mensajes leídos,12,
2026-02-27,Mensajes enviados,5,
2026-02-27,Mensajes entregados,5,
2026-02-27,Mensajes leídos,5,
2026-02-26,Mensajes enviados,1,
2026-02-26,Mensajes entregados,1,
2026-02-26,Mensajes leídos,1,
2026-02-25,Mensajes enviados,7,
2026-02-25,Mensajes entregados,7,
2026-02-25,Mensajes leídos,7,
2026-02-24,Mensajes enviados,5,
2026-02-24,Mensajes entregados,5,
2026-02-24,Mensajes leídos,5,
2026-02-23,Mensajes enviados,0,
2026-02-23,Mensajes entregados,0,
2026-02-23,Mensajes leídos,0,
2026-02-22,Mensajes enviados,0,
2026-02-22,Mensajes entregados,0,
2026-02-22,Mensajes leídos,0,
