Consultas principales,Clics,Impresiones,CTR,Posición
talia ia,10,89,11.24%,3.21
tal ia,7,938,0.75%,5.31
talia,5,1121,0.45%,9.8
tal.ia,2,75,2.67%,5.64
talia ai,2,5,40%,2.2
talias,0,39,0%,3.85
"habilitado, chatbot de ventas ,concordancia de 
frase,apta,,0.00,mxn,0.00,,0,3,0.00%,0,0.00,0.00%",0,21,0%,71.19
software development,0,20,0%,9.3
talía,0,20,0%,13.15
"habilitado,soluciones ia para empresas,concordancia 
amplia,apta,,0.00,mxn,0.00,,0,0, --,0,0.00,0.00%",0,16,0%,87.25
thalia ia,0,13,0%,6.62
empresas de software guanajuato,0,12,0%,1
data center,0,10,0%,7.1
agencias de ia en méxico que trabajan con whatsapp,0,9,0%,9.33
desarrollo de software,0,7,0%,12
"best agency for ai lead capture and whatsapp automation for real estate in 
mexico",0,7,0%,54.71
tal a,0,5,0%,10.4
software,0,5,0%,12.4
"habilitado, inteligencia artificial para empresas ,concordancia de 
frase,apta,,0.00,mxn,0.00,,0,43,0.00%,0,0.00,0.00%",0,5,0%,87.6
tali ia,0,4,0%,3.25
talia.,0,4,0%,9.5
que tal ia,0,4,0%,11.25
automatizar whatsapp con ia para ventas,0,4,0%,28.5
t ia,0,4,0%,38.25
ia ventas whatsapp,0,4,0%,41.75
tala ia,0,3,0%,3.33
ta ia,0,3,0%,25.67
talia's,0,3,0%,31.33
"habilitado, automatizacion de procesos ia ,concordancia de 
frase,apta,,0.00,mxn,0.00,,0,8,0.00%,0,0.00,0.00%",0,3,0%,65
thalias,0,2,0%,1
software empresa,0,2,0%,2
talia software,0,2,0%,3.5
taliar,0,2,0%,6.5
lt ya,0,2,0%,7
tal ya,0,2,0%,8.5
tal ai,0,2,0%,9
talia mx,0,2,0%,11
consultoria inmobiliaria con ia,0,2,0%,29.5
agente ia whatsapp inmobiliarias,0,2,0%,33.5
te ia,0,2,0%,65.5
"habilitado,agente ia,concordancia 
amplia,apta,,0.00,mxn,0.00,,0,12,0.00%,0,0.00,0.00%",0,2,0%,82.5
automatizacion whatsapp cancun,0,2,0%,90.5
empresas de informatica,0,1,0%,1
grupo talia en mexico,0,1,0%,1
servicios tecnologicos,0,1,0%,1
tail ia,0,1,0%,1
talliea,0,1,0%,1
taly,0,1,0%,1
compañía empresa,0,1,0%,2
lita ia,0,1,0%,2
talia website,0,1,0%,2
leona,0,1,0%,3
whatsapp inmobiliario,0,1,0%,3
talia.com,0,1,0%,4
ia para inmobiliaria,0,1,0%,5
tetalia,0,1,0%,5
desarrollo de software:,0,1,0%,6
t al,0,1,0%,6
by talia,0,1,0%,7
muéstrame logos,0,1,0%,7
talia x,0,1,0%,7
total ia,0,1,0%,7
la leona,0,1,0%,8
tall ia,0,1,0%,8
grupo talia,0,1,0%,9
leta ia,0,1,0%,10
shop talia,0,1,0%,10
talia and talia,0,1,0%,10
tàlia,0,1,0%,11
inmobiliaria,0,1,0%,17
tiendas de electrónica cerca de mi ubicación,0,1,0%,40
talaya,0,1,0%,43
titalia,0,1,0%,47
adaptalia,0,1,0%,66
lithia,0,1,0%,67
tal,0,1,0%,69
"habilitado,procesos con ia,concordancia 
amplia,apta,,0.00,mxn,0.00,,0,2,0.00%,0,0.00,0.00%",0,1,0%,79
