Fecha,Clics,Impresiones,CTR,Posición
2025-10-28,0,2,0%,4.5
2025-10-29,5,25,20%,1.1
2025-10-30,0,3,0%,1.3
2025-10-31,1,3,33.33%,2.7
2025-11-01,1,65,1.54%,2.8
2025-11-02,0,4,0%,5.8
2025-11-03,0,1,0%,5
2025-11-04,0,22,0%,2.8
2025-11-05,0,11,0%,4.5
2025-11-06,0,5,0%,5.8
2025-11-07,1,15,6.67%,6.3
2025-11-08,1,37,2.7%,2.3
2025-11-09,0,5,0%,4
2025-11-10,0,9,0%,3.7
2025-11-11,0,12,0%,5.2
2025-11-12,1,12,8.33%,4.9
2025-11-13,1,16,6.25%,5.4
2025-11-14,0,5,0%,5.8
2025-11-15,0,5,0%,5.6
2025-11-16,0,9,0%,8.6
2025-11-17,1,11,9.09%,4.8
2025-11-18,1,19,5.26%,4.9
2025-11-19,1,10,10%,3.8
2025-11-20,0,11,0%,4.7
2025-11-21,0,4,0%,7
2025-11-22,0,8,0%,6.5
2025-11-23,0,11,0%,5.8
2025-11-24,1,11,9.09%,5.6
2025-11-25,0,9,0%,6
2025-11-26,0,16,0%,9.6
2025-11-27,0,12,0%,5.8
2025-11-28,1,15,6.67%,5.8
2025-11-29,0,11,0%,5.6
2025-11-30,0,7,0%,7.6
2025-12-01,0,11,0%,6
2025-12-02,0,13,0%,5.5
2025-12-03,0,19,0%,5.7
2025-12-04,0,20,0%,5.2
2025-12-05,1,14,7.14%,4.1
2025-12-06,0,11,0%,4
2025-12-07,0,5,0%,4.8
2025-12-08,0,7,0%,5.1
2025-12-09,0,12,0%,3.6
2025-12-10,0,9,0%,5.1
2025-12-11,0,7,0%,3.1
2025-12-12,0,7,0%,4.7
2025-12-13,0,5,0%,3.8
2025-12-14,0,2,0%,4.5
2025-12-15,0,7,0%,4.7
2025-12-16,1,16,6.25%,5.4
2025-12-17,0,5,0%,6.4
2025-12-18,0,7,0%,3.7
2025-12-19,0,9,0%,7.2
2025-12-20,0,10,0%,3.5
2025-12-21,0,11,0%,14.4
2025-12-22,0,6,0%,5.3
2025-12-23,0,3,0%,18
2025-12-24,0,5,0%,5.8
2025-12-25,0,3,0%,5
2025-12-26,0,9,0%,13.9
2025-12-27,0,6,0%,7.8
2025-12-28,0,9,0%,3.4
2025-12-29,0,4,0%,4.8
2025-12-30,0,11,0%,16.6
2025-12-31,0,4,0%,4.5
2026-01-01,0,8,0%,6.2
2026-01-02,0,3,0%,5.3
2026-01-03,0,4,0%,5.8
2026-01-04,0,4,0%,5
2026-01-05,0,10,0%,7.6
2026-01-06,0,5,0%,7
2026-01-07,0,10,0%,6.4
2026-01-08,2,15,13.33%,3.5
2026-01-09,4,10,40%,4.1
2026-01-10,0,6,0%,4.8
2026-01-11,0,6,0%,5.3
2026-01-12,0,11,0%,4.8
2026-01-13,0,13,0%,5.5
2026-01-14,0,14,0%,4.8
2026-01-15,0,11,0%,5.4
2026-01-16,0,15,0%,4.9
2026-01-17,0,4,0%,4.5
2026-01-18,0,10,0%,6.1
2026-01-19,0,14,0%,4.6
2026-01-20,0,12,0%,3.9
2026-01-21,1,10,10%,3.1
2026-01-22,0,18,0%,4.4
2026-01-23,0,13,0%,3.8
2026-01-24,0,5,0%,4.2
2026-01-25,0,8,0%,3.8
2026-01-26,0,5,0%,2.8
2026-01-27,0,15,0%,4
2026-01-28,0,7,0%,4.7
2026-01-29,0,14,0%,5.1
2026-01-30,0,6,0%,3.8
2026-01-31,0,18,0%,4.9
2026-02-01,0,12,0%,5.1
2026-02-02,0,20,0%,10.8
2026-02-03,0,19,0%,5.5
2026-02-04,2,19,10.53%,5.3
2026-02-05,0,7,0%,3.1
2026-02-06,1,12,8.33%,5.5
2026-02-07,0,5,0%,7
2026-02-08,0,6,0%,5.8
2026-02-09,1,12,8.33%,5.9
2026-02-10,0,11,0%,6.3
2026-02-11,1,14,7.14%,5.3
2026-02-12,0,12,0%,6.8
2026-02-13,0,10,0%,7.1
2026-02-14,0,10,0%,5.2
2026-02-15,0,5,0%,3.6
2026-02-16,0,6,0%,3.8
2026-02-17,0,6,0%,8.5
2026-02-18,0,13,0%,14.8
2026-02-19,0,19,0%,5.3
2026-02-20,0,13,0%,3.9
2026-02-21,0,7,0%,6.7
2026-02-22,0,9,0%,5.2
2026-02-23,0,15,0%,4.3
2026-02-24,0,12,0%,4.6
2026-02-25,0,15,0%,4.3
2026-02-26,1,20,5%,5
2026-02-27,0,13,0%,4.9
2026-02-28,0,11,0%,4.8
2026-03-01,0,9,0%,6.1
2026-03-02,1,19,5.26%,5.6
2026-03-03,0,22,0%,7.8
2026-03-04,0,20,0%,8.2
2026-03-05,0,12,0%,6.4
2026-03-06,0,20,0%,6.9
2026-03-07,0,32,0%,7.8
2026-03-08,0,18,0%,5.9
2026-03-09,0,32,0%,6.6
2026-03-10,0,19,0%,8.3
2026-03-11,0,13,0%,7.6
2026-03-12,3,20,15%,6.8
2026-03-13,0,14,0%,7
2026-03-14,1,29,3.45%,5.3
2026-03-15,0,36,0%,7
2026-03-16,0,20,0%,11.3
2026-03-17,3,34,8.82%,6.7
2026-03-18,1,20,5%,4.9
2026-03-19,0,15,0%,5.5
2026-03-20,0,13,0%,5.1
2026-03-21,1,19,5.26%,9.4
2026-03-22,0,14,0%,6.4
2026-03-23,1,24,4.17%,9.3
2026-03-24,0,17,0%,5.8
2026-03-25,1,24,4.17%,6.6
2026-03-26,0,25,0%,8.4
2026-03-27,0,16,0%,7.8
2026-03-28,0,19,0%,9.7
2026-03-29,0,24,0%,10.1
2026-03-30,0,11,0%,7.7
2026-03-31,0,5,0%,5
2026-04-01,0,13,0%,8.6
2026-04-02,1,24,4.17%,4.7
2026-04-03,1,9,11.11%,5
2026-04-04,0,5,0%,5.8
2026-04-05,0,12,0%,6.6
2026-04-06,2,19,10.53%,4.6
2026-04-07,0,23,0%,5
2026-04-08,2,36,5.56%,4.7
2026-04-09,0,19,0%,3.8
2026-04-10,0,14,0%,5.9
2026-04-11,0,9,0%,7.1
2026-04-12,0,14,0%,7.4
2026-04-13,0,16,0%,6.6
2026-04-14,1,27,3.7%,7.7
2026-04-15,1,21,4.76%,9.7
2026-04-16,1,27,3.7%,6.1
2026-04-17,0,43,0%,5
2026-04-18,0,16,0%,8.4
2026-04-19,0,18,0%,9.5
2026-04-20,1,24,4.17%,6.9
2026-04-21,0,31,0%,10.2
2026-04-22,0,33,0%,8.8
2026-04-23,0,31,0%,13.5
2026-04-24,0,20,0%,7
2026-04-25,0,17,0%,7.5
2026-04-26,0,11,0%,7.8
2026-04-27,1,15,6.67%,5
2026-04-28,1,16,6.25%,7.1
2026-04-29,0,19,0%,11.6
2026-04-30,0,14,0%,9.1
2026-05-01,0,20,0%,7.8
2026-05-02,0,16,0%,17.3
2026-05-03,0,8,0%,5.4
2026-05-04,1,25,4%,6.4
2026-05-05,1,56,1.79%,4.5
2026-05-06,2,31,6.45%,5.5
2026-05-07,0,31,0%,9.7
2026-05-08,0,37,0%,10.8
2026-05-09,0,35,0%,10.9
2026-05-10,0,48,0%,10
2026-05-11,0,26,0%,8.5
2026-05-12,1,27,3.7%,7.2
2026-05-13,2,42,4.76%,4.6
2026-05-14,1,27,3.7%,5.9
2026-05-15,0,29,0%,6.8
2026-05-16,1,11,9.09%,7.1
2026-05-17,0,17,0%,5.1
2026-05-18,1,18,5.56%,8.5
2026-05-19,0,26,0%,6.7
2026-05-20,1,29,3.45%,10.8
2026-05-21,0,26,0%,5.3
2026-05-22,0,17,0%,13.2
2026-05-23,1,35,2.86%,8.3
2026-05-24,0,16,0%,13.2
2026-05-25,0,31,0%,9.7
2026-05-26,0,29,0%,7
2026-05-27,0,18,0%,10.1
2026-05-28,0,32,0%,12
2026-05-29,0,15,0%,6.7
2026-05-30,0,18,0%,5.3
2026-05-31,0,19,0%,5.4
2026-06-01,1,27,3.7%,19
2026-06-02,0,30,0%,11.3
2026-06-03,0,30,0%,6.4
2026-06-04,1,45,2.22%,9.6
2026-06-05,0,25,0%,22.8
2026-06-06,0,18,0%,18.6
2026-06-07,1,16,6.25%,25.8
2026-06-08,0,27,0%,14.6
2026-06-09,3,26,11.54%,11.8
2026-06-10,1,28,3.57%,21.1
2026-06-11,0,18,0%,8.9
2026-06-12,0,33,0%,18.4
2026-06-13,0,38,0%,13.9
2026-06-14,0,17,0%,8.1
2026-06-15,0,19,0%,28.2
2026-06-16,0,25,0%,11.7
2026-06-17,0,23,0%,13.7
2026-06-18,0,19,0%,17.8
2026-06-19,2,19,10.53%,6.1
2026-06-20,0,6,0%,18.2
2026-06-21,0,9,0%,22
2026-06-22,0,12,0%,25.7
