País,Clics,Impresiones,CTR,Posición
México,58,1965,2.95%,8.68
España,9,322,2.8%,6.45
Ecuador,3,110,2.73%,7.31
Bolivia,2,42,4.76%,5.57
Perú,1,104,0.96%,5.26
Chile,1,77,1.3%,5.44
Guatemala,1,31,3.23%,7.55
Brasil,1,17,5.88%,10
Colombia,0,505,0%,6.39
Estados Unidos,0,228,0%,9.7
Venezuela,0,154,0%,5.4
Argentina,0,74,0%,7.49
Paraguay,0,34,0%,11.94
República Dominicana,0,26,0%,5.23
Panamá,0,18,0%,6
Costa Rica,0,14,0%,8
El Salvador,0,14,0%,12.57
Uruguay,0,13,0%,13.23
Honduras,0,11,0%,7.55
Canadá,0,10,0%,5.6
Francia,0,7,0%,5.71
Alemania,0,7,0%,7.43
Nicaragua,0,7,0%,7.86
Reino Unido,0,6,0%,6.33
La India,0,5,0%,1.6
Turquía,0,4,0%,1
Cuba,0,4,0%,3.75
Indonesia,0,4,0%,4.75
Puerto Rico,0,4,0%,8
China,0,3,0%,5.33
Suiza,0,3,0%,5.67
Países Bajos,0,3,0%,5.67
Kazajistán,0,2,0%,1
Polonia,0,2,0%,1
Mozambique,0,2,0%,3
Rusia,0,2,0%,4
Portugal,0,2,0%,7.5
Malasia,0,2,0%,8
Italia,0,2,0%,11.5
Argelia,0,1,0%,1
Taiwán,0,1,0%,1
Tanzania,0,1,0%,1
Singapur,0,1,0%,2
Bosnia y Herzegovina,0,1,0%,3
Georgia,0,1,0%,3
Marruecos,0,1,0%,3
Vietnam,0,1,0%,3
República Democrática del Congo,0,1,0%,4
Albania,0,1,0%,5
Emiratos Árabes Unidos,0,1,0%,5
Palestina,0,1,0%,5
Arabia Saudí,0,1,0%,5
Nigeria,0,1,0%,8
Kenia,0,1,0%,9
Australia,0,1,0%,11
Noruega,0,1,0%,11
Túnez,0,1,0%,14
Jamaica,0,1,0%,20
Grecia,0,1,0%,36
Uzbekistán,0,1,0%,69
