entidad,grupo,nombre,tipo,status,pais_codigo,estado_cve,municipio_cve,nivel,capa_nivel,unidad,tipo_nombre,poligono,metadata,linea_id,familia_id,modelo_id,height,min_height,levels,metadata_color
desarrollo,GT Group,Colorado Hills,vertical,disponible,MX,3,8,,,,departamento,"{""coordinates"":[[[[-109.73834533444442,23.002238789331948,0.0],[-109.73819730979476,23.002369696667127,0.0],[-109.73770243132776,23.001857622062627,0.0],[-109.73800660095183,23.001614812455365,0.0],[-109.73813565901965,23.001764136197533,0.0],[-109.73808596289929,23.001805647593276,0.0],[-109.73807161580322,23.00179258202036,0.0],[-109.73800056168866,23.001847621101966,0.0],[-109.7380260734044,23.001871563095467,0.0],[-109.73800733823816,23.001886423641007,0.0],[-109.73834533444442,23.002238789331948,0.0]]]],""type"":""MultiPolygon""}",{},{},,,,,,
capa,GT Group,Planta baja,vertical,disponible,MX,3,8,0,,,,"{""coordinates"":[[[-109.73834533444442,23.002238789331948,3.0],[-109.73819730979476,23.002369696667127,3.0],[-109.73770243132776,23.001857622062627,3.0],[-109.73800660095183,23.001614812455365,3.0],[-109.73813565901965,23.001764136197533,3.0],[-109.73808596289929,23.001805647593276,3.0],[-109.73807161580322,23.00179258202036,3.0],[-109.73800056168866,23.001847621101966,3.0],[-109.7380260734044,23.001871563095467,3.0],[-109.73800733823816,23.001886423641007,3.0],[-109.73834533444442,23.002238789331948,3.0]]],""type"":""Polygon""}",{},{},,,3,0,1,
unidad,GT Group,Departamento 01,,disponible,MX,3,8,,0,1A,departamento,"{""coordinates"":[[[-109.73805617237909,23.001804544619386,3.0],[-109.73793353040804,23.001673142507546,3.0],[-109.73800660095183,23.001614812455365,3.0],[-109.73813565901965,23.001764136197533,3.0],[-109.73808596289929,23.001805647593276,3.0],[-109.73807161580322,23.00179258202036,3.0],[-109.73805617237909,23.001804544619386,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 02,,disponible,MX,3,8,,0,1B,departamento,"{""coordinates"":[[[-109.7381555510208,23.0023264868508,3.0],[-109.73830440605886,23.002196120927437,3.0],[-109.73834533444442,23.002238789331948,3.0],[-109.73819730979476,23.002369696667127,3.0],[-109.7381555510208,23.0023264868508,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 03,,disponible,MX,3,8,,0,1C,departamento,"{""coordinates"":[[[-109.73810152170938,23.002270580117905,3.0],[-109.73825038489092,23.002139803117306,3.0],[-109.73830440605886,23.002196120927437,3.0],[-109.7381555510208,23.0023264868508,3.0],[-109.73810152170938,23.002270580117905,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 04,,disponible,MX,3,8,,0,1D,departamento,"{""coordinates"":[[[-109.73804565831493,23.00221277557088,3.0],[-109.73819457450733,23.002081620025283,3.0],[-109.73825038489092,23.002139803117306,3.0],[-109.73810152170938,23.002270580117905,3.0],[-109.73804565831493,23.00221277557088,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 05,,disponible,MX,3,8,,0,1E,departamento,"{""coordinates"":[[[-109.73799373962656,23.00215905280138,3.0],[-109.73814258091014,23.00202741598555,3.0],[-109.73819457450733,23.002081620025283,3.0],[-109.73804565831493,23.00221277557088,3.0],[-109.73799373962656,23.00215905280138,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 06,,disponible,MX,3,8,,0,1F,departamento,"{""coordinates"":[[[-109.73794098960335,23.002104469809645,3.0],[-109.73809071119547,23.001973341094995,3.0],[-109.73814258091014,23.00202741598555,3.0],[-109.73799373962656,23.00215905280138,3.0],[-109.73794098960335,23.002104469809645,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 07,,disponible,MX,3,8,,0,1G,departamento,"{""coordinates"":[[[-109.73788533132532,23.002046877506462,3.0],[-109.73803520704223,23.001915477252318,3.0],[-109.73809071119547,23.001973341094995,3.0],[-109.73794098960335,23.002104469809645,3.0],[-109.73788533132532,23.002046877506462,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 08,,disponible,MX,3,8,,0,1H,departamento,"{""coordinates"":[[[-109.73792925801384,23.001870964016366,3.0],[-109.73782642651277,23.00175864037676,3.0],[-109.73787841137819,23.00171714239749,3.0],[-109.73798223923421,23.00182413870921,3.0],[-109.73792925801384,23.001870964016366,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 09,,disponible,MX,3,8,,0,1I,departamento,"{""coordinates"":[[[-109.73787841137819,23.00171714239749,3.0],[-109.73793353040804,23.001673142507546,3.0],[-109.73803261955996,23.00177930945603,3.0],[-109.73805617237909,23.001804544619386,3.0],[-109.73800311043402,23.00184564682356,3.0],[-109.73798182040113,23.001823707094836,3.0],[-109.73787841137819,23.00171714239749,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 10,,disponible,MX,3,8,,0,1J,departamento,"{""coordinates"":[[[-109.7378138762617,23.001972939507784,3.0],[-109.73798223923421,23.00182413870921,3.0],[-109.73800311043402,23.00184564682356,3.0],[-109.73800056168866,23.001847621101966,3.0],[-109.7380260734044,23.001871563095467,3.0],[-109.73800733823816,23.001886423641007,3.0],[-109.73803520704223,23.001915477252318,3.0],[-109.73788533132532,23.002046877506462,3.0],[-109.7378138762617,23.001972939507784,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 11,,disponible,MX,3,8,,0,1K,departamento,"{""coordinates"":[[[-109.73778186590067,23.001794211794397,3.0],[-109.73788518800707,23.00190991350805,3.0],[-109.7378138762617,23.001972939507784,3.0],[-109.73770243132776,23.001857622062627,3.0],[-109.73778186590067,23.001794211794397,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 12,,disponible,MX,3,8,,0,1L,departamento,"{""coordinates"":[[[-109.73782642651277,23.00175864037676,3.0],[-109.73792925801384,23.001870964016366,3.0],[-109.73788518800707,23.00190991350805,3.0],[-109.73778186590067,23.001794211794397,3.0],[-109.73782642651277,23.00175864037676,3.0]]],""type"":""Polygon""}",{},,,,3,0,1,
capa,GT Group,Piso 1,vertical,disponible,MX,3,8,1,,,,"{""coordinates"": [[[-109.73834533444442, 23.002238789331948, 6], [-109.73819730979476, 23.002369696667127, 6], [-109.73770243132776, 23.001857622062627, 6], [-109.73800660095183, 23.001614812455365, 6], [-109.73813565901965, 23.001764136197533, 6], [-109.73808596289929, 23.001805647593276, 6], [-109.73807161580322, 23.00179258202036, 6], [-109.73800056168866, 23.001847621101966, 6], [-109.7380260734044, 23.001871563095467, 6], [-109.73800733823816, 23.001886423641007, 6], [-109.73834533444442, 23.002238789331948, 6]]], ""type"": ""Polygon""}",{},{},,,3,0,1,
unidad,GT Group,Departamento 01,,disponible,MX,3,8,1,1,2A,departamento,"{""coordinates"": [[[-109.73805617237909, 23.001804544619386, 6], [-109.73793353040804, 23.001673142507546, 6], [-109.73800660095183, 23.001614812455365, 6], [-109.73813565901965, 23.001764136197533, 6], [-109.73808596289929, 23.001805647593276, 6], [-109.73807161580322, 23.00179258202036, 6], [-109.73805617237909, 23.001804544619386, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 02,,disponible,MX,3,8,1,1,2B,departamento,"{""coordinates"": [[[-109.7381555510208, 23.0023264868508, 6], [-109.73830440605886, 23.002196120927437, 6], [-109.73834533444442, 23.002238789331948, 6], [-109.73819730979476, 23.002369696667127, 6], [-109.7381555510208, 23.0023264868508, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 03,,disponible,MX,3,8,1,1,2C,departamento,"{""coordinates"": [[[-109.73810152170938, 23.002270580117905, 6], [-109.73825038489092, 23.002139803117306, 6], [-109.73830440605886, 23.002196120927437, 6], [-109.7381555510208, 23.0023264868508, 6], [-109.73810152170938, 23.002270580117905, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 04,,disponible,MX,3,8,1,1,2D,departamento,"{""coordinates"": [[[-109.73804565831493, 23.00221277557088, 6], [-109.73819457450733, 23.002081620025283, 6], [-109.73825038489092, 23.002139803117306, 6], [-109.73810152170938, 23.002270580117905, 6], [-109.73804565831493, 23.00221277557088, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 05,,disponible,MX,3,8,1,1,2E,departamento,"{""coordinates"": [[[-109.73799373962656, 23.00215905280138, 6], [-109.73814258091014, 23.00202741598555, 6], [-109.73819457450733, 23.002081620025283, 6], [-109.73804565831493, 23.00221277557088, 6], [-109.73799373962656, 23.00215905280138, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 06,,disponible,MX,3,8,1,1,2F,departamento,"{""coordinates"": [[[-109.73794098960335, 23.002104469809645, 6], [-109.73809071119547, 23.001973341094995, 6], [-109.73814258091014, 23.00202741598555, 6], [-109.73799373962656, 23.00215905280138, 6], [-109.73794098960335, 23.002104469809645, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 07,,disponible,MX,3,8,1,1,2G,departamento,"{""coordinates"": [[[-109.73788533132532, 23.002046877506462, 6], [-109.73803520704223, 23.001915477252318, 6], [-109.73809071119547, 23.001973341094995, 6], [-109.73794098960335, 23.002104469809645, 6], [-109.73788533132532, 23.002046877506462, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 08,,disponible,MX,3,8,1,1,2H,departamento,"{""coordinates"": [[[-109.73792925801384, 23.001870964016366, 6], [-109.73782642651277, 23.00175864037676, 6], [-109.73787841137819, 23.00171714239749, 6], [-109.73798223923421, 23.00182413870921, 6], [-109.73792925801384, 23.001870964016366, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 09,,disponible,MX,3,8,1,1,2I,departamento,"{""coordinates"": [[[-109.73787841137819, 23.00171714239749, 6], [-109.73793353040804, 23.001673142507546, 6], [-109.73803261955996, 23.00177930945603, 6], [-109.73805617237909, 23.001804544619386, 6], [-109.73800311043402, 23.00184564682356, 6], [-109.73798182040113, 23.001823707094836, 6], [-109.73787841137819, 23.00171714239749, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
unidad,GT Group,Departamento 10,,disponible,MX,3,8,1,1,2J,departamento,"{""coordinates"": [[[-109.7378138762617, 23.001972939507784, 6], [-109.73798223923421, 23.00182413870921, 6], [-109.73800311043402, 23.00184564682356, 6], [-109.73800056168866, 23.001847621101966, 6], [-109.7380260734044, 23.001871563095467, 6], [-109.73800733823816, 23.001886423641007, 6], [-109.73803520704223, 23.001915477252318, 6], [-109.73788533132532, 23.002046877506462, 6], [-109.7378138762617, 23.001972939507784, 6]]], ""type"": ""Polygon""}",{},,,,3,0,1,
