id,geometry
True,"{""coordinates"":[[[-109.73805617237909,23.001804544619386,3.0],[-109.73793353040804,23.001673142507546,3.0],[-109.73800660095183,23.001614812455365,3.0],[-109.73813565901965,23.001764136197533,3.0],[-109.73808596289929,23.001805647593276,3.0],[-109.73807161580322,23.00179258202036,3.0],[-109.73805617237909,23.001804544619386,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.7381555510208,23.0023264868508,3.0],[-109.73830440605886,23.002196120927437,3.0],[-109.73834533444442,23.002238789331948,3.0],[-109.73819730979476,23.002369696667127,3.0],[-109.7381555510208,23.0023264868508,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73810152170938,23.002270580117905,3.0],[-109.73825038489092,23.002139803117306,3.0],[-109.73830440605886,23.002196120927437,3.0],[-109.7381555510208,23.0023264868508,3.0],[-109.73810152170938,23.002270580117905,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73804565831493,23.00221277557088,3.0],[-109.73819457450733,23.002081620025283,3.0],[-109.73825038489092,23.002139803117306,3.0],[-109.73810152170938,23.002270580117905,3.0],[-109.73804565831493,23.00221277557088,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73799373962656,23.00215905280138,3.0],[-109.73814258091014,23.00202741598555,3.0],[-109.73819457450733,23.002081620025283,3.0],[-109.73804565831493,23.00221277557088,3.0],[-109.73799373962656,23.00215905280138,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73794098960335,23.002104469809645,3.0],[-109.73809071119547,23.001973341094995,3.0],[-109.73814258091014,23.00202741598555,3.0],[-109.73799373962656,23.00215905280138,3.0],[-109.73794098960335,23.002104469809645,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73788533132532,23.002046877506462,3.0],[-109.73803520704223,23.001915477252318,3.0],[-109.73809071119547,23.001973341094995,3.0],[-109.73794098960335,23.002104469809645,3.0],[-109.73788533132532,23.002046877506462,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73792925801384,23.001870964016366,3.0],[-109.73782642651277,23.00175864037676,3.0],[-109.73787841137819,23.00171714239749,3.0],[-109.73798223923421,23.00182413870921,3.0],[-109.73792925801384,23.001870964016366,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73787841137819,23.00171714239749,3.0],[-109.73793353040804,23.001673142507546,3.0],[-109.73803261955996,23.00177930945603,3.0],[-109.73805617237909,23.001804544619386,3.0],[-109.73800311043402,23.00184564682356,3.0],[-109.73798182040113,23.001823707094836,3.0],[-109.73787841137819,23.00171714239749,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.7378138762617,23.001972939507784,3.0],[-109.73798223923421,23.00182413870921,3.0],[-109.73800311043402,23.00184564682356,3.0],[-109.73800056168866,23.001847621101966,3.0],[-109.7380260734044,23.001871563095467,3.0],[-109.73800733823816,23.001886423641007,3.0],[-109.73803520704223,23.001915477252318,3.0],[-109.73788533132532,23.002046877506462,3.0],[-109.7378138762617,23.001972939507784,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73778186590067,23.001794211794397,3.0],[-109.73788518800707,23.00190991350805,3.0],[-109.7378138762617,23.001972939507784,3.0],[-109.73770243132776,23.001857622062627,3.0],[-109.73778186590067,23.001794211794397,3.0]]],""type"":""Polygon""}"
True,"{""coordinates"":[[[-109.73782642651277,23.00175864037676,3.0],[-109.73792925801384,23.001870964016366,3.0],[-109.73788518800707,23.00190991350805,3.0],[-109.73778186590067,23.001794211794397,3.0],[-109.73782642651277,23.00175864037676,3.0]]],""type"":""Polygon""}"
